month,Solid Ice Discharge,Liquid Runoff Ice Sheet,Liquid Runoff Tundra,Liquid Runoff Ice Caps,Precipitation Fjords
1,74.6671565425068,1.219642926656196,1.6631304784411705,0.27536777080537594,22.174702281590463
2,78.16573214041948,1.111897490074957,1.3293801943254775,0.25430032483797954,19.138689850342118
3,83.89760475838717,1.3137143953472004,1.0765849614609264,0.307334339239985,13.404761545564709
4,77.23390636783749,2.7855991565059344,10.829983054725234,0.7395531340915216,8.410958286839818
5,53.45336979898478,9.686578328384691,28.748542973817333,1.7948773418808857,6.316631556932309
6,28.31241521711025,39.893691749558926,22.534529800121124,7.438422997493234,1.8209402357164637
7,14.866706026057436,58.61827567016241,13.539499659028891,11.219594196210034,1.75592444854123
8,20.98149382225779,53.20433003424182,12.326337021977606,10.298731087431628,3.189108034091144
9,46.88298709939825,24.613485717486043,9.093435751965545,4.548787122076535,14.86130430907362
10,69.5507102275466,3.834669379897352,6.225467618526888,0.8427019511668968,19.54645082286227
11,76.61077940821725,1.564643706975324,4.304198202526094,0.363646026624337,17.15673265565699
12,78.66990772645609,1.3798853788969212,2.561308263885556,0.3119064480937375,17.0769921826677
